Scheme Name;Net Asset Value
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW;10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW;10.2243
ICICI Prudential Corporate Bond Fund - Growth;25.4423
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option;12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW;10.4025
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend;10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend;10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW;10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW;10.8053
ICICI Prudential Corporate Bond Fund Retail Daily Dividend;10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend;10.3041
ICICI Prudential Corporate Bond Fund Retail Growth;22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend;10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend;10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend;10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment);1681.3717
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment);1244.1606
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment);2895.8992
Invesco India Corporate Bond Fund - Direct Plan - Growth;2894.9822
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment);1258.1875
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment);1173.4702
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment);2857.8431
Invesco India Corporate Bond Fund - Growth;2722.4471
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment);1560.4166
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment);1140.842
Kotak Coporate Bond Fund- Retail Plan-Growth Option;2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option;3341.0171
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option;1072.2067
Kotak Corporate Bond Fund- Institutional Plan-Growth Option;2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option;3221.606
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option;1049.4746
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option;1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option;1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option;1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option;1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option;1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option;1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan;11.1234
Mirae Asset Corporate Bond Fund Direct IDCW;11.1220
Mirae Asset Corporate Bond Fund Regular Growth;11.0128
Mirae Asset Corporate Bond Fund Regular IDCW;11.0126
